141,[1072020       0  759047 ...       0       0       0],6
142,[925479      0 634114 ...      0      0      0],0
143,[1564371       0 1125376 ...       0       0       0],6
144,[1548524       0 1100775 ...       0       0       0],6
145,[739924      0 516326 ...      0      0      0],0
146,[1301494       0  973441 ...       0       0       0],6
147,[949288      0 666044 ...      0      0      0],6
148,[451321      0 320631 ...      0      0      0],0
149,[620935      0 453468 ...      0      0      0],0
150,[1472286       0  699027 ...       0       0       0],6
151,[834384      0 584411 ...      0      0      0],0
152,[1155139       0  523155 ...       0       0       0],0
153,[784655      0 334520 ...      0      0      0],0
154,[417084      0 294448 ...      0      0      0],0
155,[1792637       0 1279823 ...       0       0       0],6
156,[748024      0 553531 ...      0      0      0],0
157,[865830      0 372803 ...      0      0      0],0
158,[857353      0 620778 ...      0      0      0],0
159,[796603      0 557285 ...      0      0      0],0
160,[368372      0 258450 ...      0      0      0],0
161,[1354718       0  949211 ...       0       0       0],6
162,[374780      0 262390 ...      0      0      0],0
163,[13258610        0  9256884 ...        0        0        0],7
164,[407767      0 289349 ...      0      0      0],0
165,[646504      0 476539 ...      0      0      0],0
166,[888659      0 632756 ...      0      0      0],0
167,[393239      0 269024 ...      0      0      0],0
168,[1374034       0  957425 ...       0       0       0],6
169,[657632      0 451959 ...      0      0      0],0
170,[4385596       0 3034068 ...       0       0       0],5
171,[1277615       0  928066 ...       0       0       0],6
172,[532461      0 391093 ...      0      0      0],0
173,[3080054       0 2112957 ...       0       0       0],3
174,[867205      0 616471 ...      0      0      0],0
175,[1394711       0  996999 ...       0       0       0],6
176,[1078124       0  751316 ...       0       0       0],6
177,[229781      0 164742 ...      0      0      0],0
178,[1010707       0  491095 ...       0       0       0],0
179,[524285      0 376520 ...      0      0      0],0
180,[308049      0 226654 ...      0      0      0],0
181,[1327304       0  920938 ...       0       0       0],6
182,[622224      0 445426 ...      0      0      0],0
183,[1083491       0  764768 ...       0       0       0],6
184,[1015572       0  702201 ...       0       0       0],6
185,[795167      0 539885 ...      0      0      0],0
186,[1505043       0 1108593 ...       0       0       0],6
187,[1566662       0 1108886 ...       0       0       0],6
188,[358362      0 256733 ...      0      0      0],0
189,[807775      0 583991 ...      0      0      0],0
190,[1126951       0  788823 ...       0       0       0],6
191,[1053288       0  748364 ...       0       0       0],6
192,[1121031       0  771318 ...       0       0       0],6
193,[1526419       0 1094223 ...       0       0       0],6
194,[944990      0 665002 ...      0      0      0],6
195,[1315914       0  922007 ...       0       0       0],6
196,[868916      0 616536 ...      0      0      0],0
197,[206969      0 147369 ...      0      0      0],0
198,[542271      0 398723 ...      0      0      0],0
199,[1111683       0  779795 ...       0       0       0],6
200,[499970      0 358075 ...      0      0      0],0
201,[433288      0 317488 ...      0      0      0],0
202,[709303      0 497286 ...      0      0      0],0
203,[5326011       0 3857847 ...       0       0       0],5
204,[856141      0 616321 ...      0      0      0],0
205,[497899      0 367338 ...      0      0      0],0
206,[874766      0 616047 ...      0      0      0],0
207,[593306      0 422212 ...      0      0      0],0
208,[1489456       0 1071949 ...       0       0       0],6
209,[870997      0 619426 ...      0      0      0],0
210,[1178415       0  857856 ...       0       0       0],6
211,[1298643       0  935221 ...       0       0       0],6
212,[1669748       0 1191074 ...       0       0       0],6
213,[690625      0 487094 ...      0      0      0],0
214,[394474      0 285757 ...      0      0      0],0
215,[1051223       0  720333 ...       0       0       0],6
216,[1620940       0  751646 ...       0       0       0],6
217,[110588      0  49362 ...      0      0      0],0
218,[1406447       0 1015768 ...       0       0       0],6
219,[432743      0 320343 ...      0      0      0],0
220,[1148534       0  810500 ...       0       0       0],6
221,[1092509       0  757850 ...       0       0       0],6
222,[759871      0 531937 ...      0      0      0],0
223,[1054738       0  723305 ...       0       0       0],6
224,[872639      0 611813 ...      0      0      0],0
